task,obs_mode,temporal_mode,action_input,action_embedding_dim,best_memoryless_accuracy,best_recurrent_model,best_recurrent_accuracy,memory_advantage
shortcut_tree_100,sparse_aliased,temporal_full,one_hot,0,0.6666666666666667,lin_block_r1_l8,0.6777777777777778,0.011111111111111072
shortcut_tree_100,vector,temporal_cue_then_blank,one_hot,0,0.6666666666666667,numpy_rnn,0.6777777777777778,0.011111111111111072
shortcut_tree_100,vector,temporal_dropout,one_hot,0,0.6666666666666667,numpy_rnn,0.6833333333333333,0.016666666666666607
shortcut_tree_100,vector,temporal_full,one_hot,0,0.6611111111111112,reservoir_diagonal,0.6907407407407407,0.02962962962962945
torus_lattice,egocentric_landmark,temporal_cue_then_blank,one_hot,0,0.40909090909090906,numpy_rnn,0.4090909090909091,5.551115123125783e-17
torus_lattice,egocentric_landmark,temporal_dropout,one_hot,0,0.3181818181818182,numpy_rnn,0.4090909090909091,0.09090909090909094
torus_lattice,egocentric_landmark,temporal_full,one_hot,0,0.36363636363636365,numpy_rnn,0.4090909090909091,0.04545454545454547
torus_lattice,gaussian_sensory,temporal_cue_then_blank,one_hot,0,0.3181818181818182,reservoir_diagonal,0.5151515151515151,0.19696969696969696
torus_lattice,gaussian_sensory,temporal_dropout,one_hot,0,0.36363636363636365,numpy_rnn,0.4318181818181818,0.06818181818181818
torus_lattice,gaussian_sensory,temporal_full,one_hot,0,0.25,reservoir_diagonal,0.37878787878787884,0.12878787878787884
torus_lattice,hybrid,temporal_cue_then_blank,one_hot,0,0.3181818181818182,numpy_rnn,0.4090909090909091,0.09090909090909094
torus_lattice,hybrid,temporal_dropout,one_hot,0,0.36363636363636365,numpy_rnn,0.4090909090909091,0.04545454545454547
torus_lattice,hybrid,temporal_full,one_hot,0,0.2727272727272727,numpy_rnn,0.38636363636363635,0.11363636363636365
