obs_mode,temporal_mode,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
sparse_aliased,temporal_cue_then_blank,reservoir_diagonal,11,0.5777963702963703,0.06819532963322625,0.20230880230880227,0.0579674801620068
sparse_aliased,temporal_cue_then_blank,reservoir_low_rank,11,0.4990108502608503,0.07134647433684052,0.21269841269841266,0.05872040791095683
sparse_aliased,temporal_cue_then_blank,reservoir_nilpotent,11,0.6282887945387945,0.08013038706879375,0.31626984126984126,0.09711567622355997
sparse_aliased,temporal_cue_then_blank,reservoir_orthogonal,11,0.618866896991897,0.07837330489745357,0.31446608946608945,0.09483955458060528
sparse_aliased,temporal_cue_then_blank,reservoir_oscillatory,11,0.5646470196470197,0.06511279127141256,0.2617965367965368,0.0716339457891482
sparse_aliased,temporal_cue_then_blank,reservoir_random,11,0.5496343933843933,0.06323583447093516,0.25075757575757573,0.06588141374835463
sparse_aliased,temporal_cue_then_blank,reservoir_sparse,11,0.5372101509601509,0.06333604005358397,0.2321067821067821,0.06114702226627168
sparse_aliased,temporal_cue_then_blank,reservoir_symmetric,11,0.5486621711621711,0.06731659208374685,0.21879509379509374,0.05844643727519685
sparse_aliased,temporal_dropout,lin_sequence_all_units_r3_l4,11,0.504192821067821,0.05643949391955578,0.1560966810966811,0.045022532435661615
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l2,11,0.5239278776778776,0.06436285363418445,0.12813852813852813,0.050310582106027284
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l4,11,0.5127253302253303,0.055898535351346375,0.1603896103896104,0.04404446052212543
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l8,11,0.6082255938505939,0.05120561671266851,0.18513708513708513,0.050082171067888114
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l2,11,0.47283209845709845,0.060796168640684434,0.15450937950937949,0.04688479957736345
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l4,11,0.5233309745809746,0.057577733756506724,0.1596320346320346,0.050125135187572986
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l8,11,0.5985318847818849,0.061311062564209415,0.20873015873015868,0.06012650623561553
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r5_l2,11,0.5343749306249307,0.05762666316181465,0.17380952380952383,0.05442752967171585
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r5_l4,11,0.5301592851592851,0.061385162076906294,0.1477633477633478,0.044398788416023856
