task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_block_r5_l64,5,64,68,independent_blocks,3,0.7333333333333334,0.003921568627451004,nan,0.0,0.7294117647058824,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,3,4,6,all_units,9,0.5032679738562091,0.0017292492229180267,nan,0.0,0.48235294117647054,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.0033961780540566256
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,9,0.5006535947712418,0.0028489535578697157,nan,0.0,0.4836601307189542,0.0036390616750523012
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,9,0.5058823529411764,0.0,nan,0.0,0.4836601307189543,0.0036390616750523064
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,9,0.5032679738562091,0.0026143790849673175,nan,0.0,0.4810457516339869,0.003065631215570873
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,9,0.49673202614379086,0.004285907532223527,nan,0.0,0.48235294117647054,0.0033961780540566265
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,9,0.49411764705882355,0.001960784313725488,nan,0.0,0.481045751633987,0.004133696287801808
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,9,0.4980392156862745,0.003396178054056617,nan,0.0,0.4928104575163399,0.0041336962878018
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,9,0.4875816993464053,0.007099856530196215,nan,0.0,0.4784313725490196,0.00438444701470547
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,memoryless_linear,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,memoryless_mlp,,,,,3,0.5058823529411764,0.0,nan,0.0,0.4862745098039216,0.0039215686274509855
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,numpy_rnn,,,,,3,0.5058823529411764,0.0,nan,0.0,0.48235294117647065,0.006792356108113253
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_block_hybrid,,,,all_units,9,0.47581699346405226,0.007099856530196218,nan,0.0,0.48758169934640516,0.003975661784508641
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_diagonal,,,,all_units,9,0.5045751633986928,0.0013071895424836555,nan,0.0,0.6000000000000001,0.015929487067913646
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_low_rank,,,,all_units,9,0.49150326797385613,0.006437161961958238,nan,0.0,0.4901960784313726,0.00733658311132146
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_nilpotent,,,,all_units,9,0.4666666666666667,0.009196893646712606,nan,0.0,0.44705882352941173,0.008985442539129099
long_aliased_t_maze,long_cue_dependent_navigation,long_delayed_landmark_choice,egocentric_landmark,temporal_cue_then_blank,reservoir_orthogonal,,,,all_units,9,0.44313725490196076,0.009196893646712606,nan,0.0,0.4666666666666667,0.004802921064280744
