task,topology,aliasing,obs_mode,cue_visibility,temporal_mode,dataset_seed,model,state_dim,n_train,n_test,decision_fraction,action_accuracy,decision_accuracy
room_graph_bottleneck,bottleneck,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,lin_block_r3_l16,216,111,48,0.8958333333333334,0.5208333333333334,0.46511627906976744
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,memoryless_linear,8,130,56,0.16071428571428573,0.5535714285714286,0.5555555555555556
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,history_h8,64,130,56,0.16071428571428573,0.625,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,hybrid_vector_history_h8,72,130,56,0.16071428571428573,0.625,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,numpy_rnn_h32,32,130,56,0.16071428571428573,0.5178571428571429,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,reservoir_diagonal_h32,32,130,56,0.16071428571428573,0.5535714285714286,0.2222222222222222
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,reservoir_nilpotent_h32,32,130,56,0.16071428571428573,0.5178571428571429,0.1111111111111111
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3011,lin_block_r3_l16,144,130,56,0.16071428571428573,0.5892857142857143,0.3333333333333333
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,memoryless_linear,12,130,56,1.0,0.4107142857142857,0.4107142857142857
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,history_h8,96,130,56,1.0,0.7142857142857143,0.7142857142857143
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,hybrid_vector_history_h8,104,130,56,1.0,0.7321428571428571,0.7321428571428571
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,numpy_rnn_h32,32,130,56,1.0,0.5178571428571429,0.5178571428571429
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,reservoir_diagonal_h32,32,130,56,1.0,0.7857142857142857,0.7857142857142857
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,reservoir_nilpotent_h32,32,130,56,1.0,0.6607142857142857,0.6607142857142857
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3111,lin_block_r3_l16,216,130,56,1.0,0.6964285714285714,0.6964285714285714
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,memoryless_linear,8,130,56,0.16071428571428573,0.6607142857142857,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,history_h8,64,130,56,0.16071428571428573,0.6071428571428571,0.2222222222222222
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,hybrid_vector_history_h8,72,130,56,0.16071428571428573,0.6071428571428571,0.2222222222222222
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,numpy_rnn_h32,32,130,56,0.16071428571428573,0.6964285714285714,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,reservoir_diagonal_h32,32,130,56,0.16071428571428573,0.6785714285714286,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,reservoir_nilpotent_h32,32,130,56,0.16071428571428573,0.6428571428571429,0.2222222222222222
room_graph_tree_like,tree_like,low,vector,persistent,temporal_full,3017,lin_block_r3_l16,144,130,56,0.16071428571428573,0.6785714285714286,0.3333333333333333
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,memoryless_linear,12,130,56,1.0,0.44642857142857145,0.44642857142857145
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,history_h8,96,130,56,1.0,0.7321428571428571,0.7321428571428571
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,hybrid_vector_history_h8,104,130,56,1.0,0.8214285714285714,0.8214285714285714
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,numpy_rnn_h32,32,130,56,1.0,0.5535714285714286,0.5535714285714286
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,reservoir_diagonal_h32,32,130,56,1.0,0.8392857142857143,0.8392857142857143
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,reservoir_nilpotent_h32,32,130,56,1.0,0.6607142857142857,0.6607142857142857
room_graph_tree_like,tree_like,high,sparse_aliased,persistent,temporal_full,3117,lin_block_r3_l16,216,130,56,1.0,0.7321428571428571,0.7321428571428571
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,memoryless_linear,8,130,56,0.9285714285714286,0.32142857142857145,0.3076923076923077
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,history_h8,64,130,56,0.9285714285714286,0.4107142857142857,0.38461538461538464
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,hybrid_vector_history_h8,72,130,56,0.9285714285714286,0.5178571428571429,0.5
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,numpy_rnn_h32,32,130,56,0.9285714285714286,0.4642857142857143,0.4423076923076923
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,reservoir_diagonal_h32,32,130,56,0.9285714285714286,0.39285714285714285,0.38461538461538464
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,reservoir_nilpotent_h32,32,130,56,0.9285714285714286,0.39285714285714285,0.36538461538461536
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4011,lin_block_r3_l16,144,130,56,0.9285714285714286,0.39285714285714285,0.36538461538461536
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,memoryless_linear,12,130,56,0.9285714285714286,0.32142857142857145,0.3076923076923077
