task,basis,family,dim,delay,accuracy,target_norm,adjacent_lag_similarity
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,88,1.0,0.41294967113388814,2.5684114704189183e-15
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,92,1.0,0.3966778064220252,6.319971000023463e-16
delayed_cue_with_distractors,osc_r099_m48,oscillatory,96,96,0.9175,0.3810471181045497,2.2154389567001153e-15
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,4,1.0,0.9340557388672185,3.191149865525329e-17
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,8,1.0,0.9019053169462208,1.5303052406221727e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,12,1.0,0.8189128409061742,-1.6542702088692219e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,16,1.0,0.777271046652889,1.489806205427012e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,20,1.0,0.7415377573023482,3.914051765247775e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,24,1.0,0.7856781408072184,1.795848644345909e-15
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,28,1.0,0.6842500312687212,-6.150020679067878e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,32,1.0,0.6618134729196504,-1.3831562734741423e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,36,1.0,0.6434019183263211,-7.205462050413126e-17
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,40,1.0,0.5276013917300715,-3.861098711270085e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,44,1.0,0.5027884921981121,-2.1111310758900138e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,48,1.0,0.6172901409422882,-2.1379819128839825e-16
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,52,1.0,0.33942049140984976,1.236093440296237e-17
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,56,0.5141666666666667,0.0,nan
