task,geometry,behavior_family,obs_mode,temporal_mode,model,sequence_r,sequence_l,sequence_ell,input_injection,n_runs,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem,context_accuracy_mean,context_accuracy_sem
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.3833333333333333,0.030731814857642967,0.3,0.0447213595499958,0.19999999999999998,0.025819888974716113
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.38333333333333336,0.016666666666666673,0.26666666666666666,0.04216370213557839,0.19999999999999998,0.025819888974716113
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.35000000000000003,0.042817441928883766,0.3,0.051639777949432225,0.19999999999999998,0.025819888974716113
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.3166666666666667,0.030731814857642967,0.25,0.05000000000000001,0.19999999999999998,0.025819888974716113
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.3666666666666667,0.021081851067789207,0.26666666666666666,0.04944132324730442,0.18333333333333332,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.39999999999999997,0.02581988897471612,0.2833333333333334,0.06009252125773315,0.19999999999999998,0.03651483716701107
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l4,5,4,8,front_bands,6,0.3333333333333333,0.03333333333333334,0.25,0.03415650255319867,0.18333333333333332,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_cue_then_blank,lin_sequence_front_bands_r5_l8,5,8,12,front_bands,6,0.3666666666666667,0.021081851067789207,0.25,0.042817441928883766,0.18333333333333335,0.03073181485764296
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_all_units_r3_l4,3,4,6,all_units,6,0.35000000000000003,0.03415650255319867,0.2333333333333334,0.04944132324730442,0.3333333333333333,0.0760116950066092
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l2,1,2,2,front_bands,6,0.3,0.0632455532033676,0.39999999999999997,0.051639777949432225,0.25,0.05627314338711378
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l4,1,4,4,front_bands,6,0.43333333333333335,0.042163702135578386,0.30000000000000004,0.05163977794943224,0.3166666666666667,0.09803627446568497
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r1_l8,1,8,8,front_bands,6,0.39999999999999997,0.05773502691896258,0.2833333333333334,0.06540472290116196,0.3166666666666667,0.060092521257733164
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l2,3,2,4,front_bands,6,0.3833333333333333,0.030731814857642967,0.25,0.042817441928883766,0.3166666666666667,0.060092521257733164
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l4,3,4,6,front_bands,6,0.3166666666666667,0.030731814857642967,0.18333333333333335,0.04772607021092118,0.3333333333333334,0.09545214042184236
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r3_l8,3,8,10,front_bands,6,0.2833333333333334,0.03073181485764296,0.21666666666666667,0.060092521257733164,0.30000000000000004,0.06831300510639733
aliased_loop_rooms,looped_aliased_navigation,repeated_room_loop,sparse_aliased,temporal_dropout,lin_sequence_front_bands_r5_l2,5,2,6,front_bands,6,0.30000000000000004,0.02581988897471612,0.26666666666666666,0.03333333333333333,0.2833333333333333,0.040138648595974324
