topology,aliasing,cue_visibility,model,state_dim,n_runs,action_accuracy_mean,action_accuracy_sem,decision_accuracy_mean,decision_accuracy_sem,decision_fraction_mean
tree_like,high,persistent,lin_block_r3_l16,216,2,0.7142857142857142,0.017857142857142846,0.7142857142857142,0.017857142857142846,1.0
tree_like,high,persistent,memoryless_linear,12,2,0.4285714285714286,0.017857142857142873,0.4285714285714286,0.017857142857142873,1.0
tree_like,high,persistent,numpy_rnn_h32,32,2,0.5357142857142858,0.017857142857142846,0.5357142857142858,0.017857142857142846,1.0
tree_like,high,persistent,reservoir_diagonal_h32,32,2,0.8125,0.0267857142857143,0.8125,0.0267857142857143,1.0
tree_like,high,persistent,reservoir_nilpotent_h32,32,2,0.6607142857142857,0.0,0.6607142857142857,0.0,1.0
tree_like,low,cue_gap,history_h8,64,2,0.3839285714285714,0.02678571428571427,0.3393665158371041,0.04524886877828054,0.9196428571428572
tree_like,low,cue_gap,hybrid_vector_history_h8,72,2,0.5625,0.044642857142857095,0.5343137254901961,0.03431372549019607,0.9196428571428572
tree_like,low,cue_gap,lin_block_r3_l16,144,2,0.3660714285714286,0.02678571428571427,0.32975113122171945,0.03563348416289591,0.9196428571428572
tree_like,low,cue_gap,memoryless_linear,8,2,0.35714285714285715,0.03571428571428569,0.330316742081448,0.02262443438914027,0.9196428571428572
tree_like,low,cue_gap,numpy_rnn_h32,32,2,0.4375,0.0267857142857143,0.4074283559577677,0.034879336349924565,0.9196428571428572
tree_like,low,cue_gap,reservoir_diagonal_h32,32,2,0.3839285714285714,0.008928571428571423,0.358974358974359,0.02564102564102566,0.9196428571428572
tree_like,low,cue_gap,reservoir_nilpotent_h32,32,2,0.375,0.017857142857142846,0.3395550527903469,0.025829562594268465,0.9196428571428572
tree_like,low,persistent,history_h8,64,2,0.6160714285714286,0.008928571428571452,0.2777777777777778,0.055555555555555546,0.16071428571428573
tree_like,low,persistent,hybrid_vector_history_h8,72,2,0.6160714285714286,0.008928571428571452,0.2777777777777778,0.055555555555555546,0.16071428571428573
tree_like,low,persistent,lin_block_r3_l16,144,2,0.6339285714285714,0.044642857142857144,0.3333333333333333,0.0,0.16071428571428573
tree_like,low,persistent,memoryless_linear,8,2,0.6071428571428572,0.05357142857142854,0.4444444444444444,0.11111111111111113,0.16071428571428573
tree_like,low,persistent,numpy_rnn_h32,32,2,0.6071428571428572,0.08928571428571425,0.3333333333333333,0.0,0.16071428571428573
tree_like,low,persistent,reservoir_diagonal_h32,32,2,0.6160714285714286,0.0625,0.2777777777777778,0.055555555555555546,0.16071428571428573
tree_like,low,persistent,reservoir_nilpotent_h32,32,2,0.5803571428571429,0.0625,0.16666666666666666,0.055555555555555546,0.16071428571428573
